ID,Preis,Preisspanne,Kilometerstand,Kilometerspanne,Leistung,Erstzulassung,Kraftstoff,Getriebe,Tueren,Halter,Fairer Preis,FairJaNein
1,19220,20000,58800,,220,2017,1,1,5,1,3,nein
2,16490,15000,107000,,230,2014,1,1,3,2,4,ja
3,16990,15000,94951,,150,2019,2,2,5,1,3,nein
4,27443,25000,20651,,245,2019,1,1,5,1,3,nein
5,22977,25000,61621,,184,2019,2,2,3,1,3,nein
6,18985,20000,68950,,220,2015,1,1,3,1,3,nein
7,14877,15000,121264,,150,2017,2,1,5,2,2,nein
8,16490,15000,130543,,184,2016,2,2,5,2,4,ja
9,14990,15000,53902,,110,2017,1,2,5,2,4,ja
10,23000,25000,99000,,300,2014,1,2,5,2,3,nein
11,15480,15000,68700,,150,2016,2,2,5,1,4,ja
12,19999,20000,139000,,184,2015,2,2,5,1,2,nein
13,18977,20000,58768,,220,2017,1,1,5,1,3,nein
14,21650,20000,63400,,184,2017,2,2,5,2,2,nein
15,10950,10000,149079,,150,2013,2,1,5,2,4,ja
16,16990,15000,33000,,125,2018,1,1,3,1,4,ja
17,24990,25000,69977,,245,2018,1,2,5,1,3,nein
18,16700,15000,116000,,184,2016,2,1,5,1,3,nein
19,9299,10000,166000,,150,2013,2,1,5,1,4,ja
20,22380,20000,14003,,131,2019,1,1,5,1,4,ja
21,16490,15000,56300,,150,2017,1,1,5,2,3,nein
22,15900,15000,34301,,116,2019,2,1,5,1,5,ja
23,15990,15000,99704,,125,2017,1,1,5,1,2,nein
24,24490,25000,77000,,300,2014,1,2,5,2,4,ja
25,22800,25000,14000,,136,2019,3,2,5,1,5,ja
26,22790,25000,50400,,300,2016,1,1,5,2,4,ja
27,16890,15000,80000,,150,2019,2,2,5,1,5,ja
28,22990,25000,12375,,116,2019,2,1,5,1,2,nein
29,11577,10000,113441,,116,2017,2,1,3,1,4,ja
30,18790,20000,76000,,184,2015,2,2,5,1,3,nein
31,12700,15000,82990,,125,2015,1,1,5,3,4,ja
32,34880,35000,9800,,150,2021,1,2,5,1,4,ja
33,19990,20000,28000,,220,2016,1,2,5,0,5,ja
34,33799,35000,14818,,265,2016,1,2,5,2,2,nein
35,23777,25000,12835,,136,2020,3,2,5,2,5,ja
36,8806,10000,205000,,150,2014,2,1,5,1,2,nein
37,44350,45000,7500,,150,2021,2,2,5,1,3,nein
38,31879,30000,10000,,150,2021,2,2,5,1,3,nein
39,24300,25000,8900,,136,2019,3,2,5,1,5,ja
40,35790,35000,8000,,245,2020,1,2,5,1,3,nein
41,19444,20000,17000,,131,2019,1,2,5,1,5,ja
42,33999,35000,10000,,150,2021,1,2,5,1,2,nein
43,48250,45000,2500,,245,2021,1,1,5,1,3,nein
44,23695,25000,704,,131,2020,1,1,5,1,2,nein
45,59950,60000,2500,,320,2021,1,1,5,1,3,nein
46,22900,25000,12375,,116,2019,2,1,5,1,2,nein
47,42980,40000,3000,,200,2021,2,2,5,1,5,ja
48,11250,10000,114820,,150,2015,2,1,5,1,4,ja
49,12450,10000,76200,,110,2016,2,1,5,2,3,nein
50,18990,20000,79355,,150,2018,2,1,5,1,3,nein
51,13877,15000,94482,,110,2017,2,1,5,1,3,nein
52,16990,15000,99800,,230,2013,1,1,5,1,4,ja
53,6490,5000,187000,,86,2011,1,1,5,2,3,nein
54,17900,20000,22000,,125,2015,1,2,5,1,4,ja
55,17944,20000,93796,,150,2018,2,1,5,2,3,nein
56,20977,20000,38590,,150,2019,2,2,5,2,5,ja
57,23999,25000,61583,,230,2017,1,2,3,1,3,nein
58,17990,20000,7500,,116,2016,3,2,5,1,4,ja
59,8400,10000,196000,,105,2014,2,1,5,3,4,ja
60,22777,25000,14138,,136,2020,3,2,5,1,5,ja
61,28950,30000,37200,,245,2019,1,1,5,1,4,ja
62,15590,15000,77500,,150,2016,1,1,5,2,3,nein
63,19822,20000,46774,,116,2018,2,2,5,2,3,nein
64,16690,15000,16000,,116,2018,2,1,3,1,3,nein
65,29841,30000,15428,,150,2020,2,2,5,1,5,ja
66,37990,40000,2500,,245,2021,1,2,5,1,3,nein
67,20980,20000,6430,,150,2019,1,1,5,1,5,ja