Threshold;FPR;TPR;profit
1.997602240807432;0.0;0.0;0.0
0.9976022408074321;0.0;0.023809523809523808;1952.380952380952
0.9950320490064947;0.024390243902439025;0.023809523809523808;927.9907084785129
0.9940216695719268;0.024390243902439025;0.047619047619047616;2880.371660859465
0.9855080437472618;0.04878048780487805;0.047619047619047616;1855.9814169570259
0.9581976707456593;0.04878048780487805;0.07142857142857142;3808.3623693379786
0.9449687129930024;0.04878048780487805;0.09523809523809523;5760.74332171893
0.9227757379640904;0.07317073170731707;0.09523809523809523;4736.353077816491
0.9116619520510969;0.07317073170731707;0.11904761904761904;6688.734030197445
0.9036167046664013;0.07317073170731707;0.14285714285714285;8641.114982578398
0.9020194587786016;0.07317073170731707;0.16666666666666666;10593.495934959348
0.877151618661186;0.07317073170731707;0.19047619047619047;12545.876887340299
0.8540838856710965;0.07317073170731707;0.21428571428571427;14498.257839721256
0.8486551261073305;0.07317073170731707;0.23809523809523808;16450.638792102207
0.8369307988140933;0.0975609756097561;0.23809523809523808;15426.248548199766
0.8181557890414463;0.0975609756097561;0.2619047619047619;17378.62950058072
0.8066615805119725;0.0975609756097561;0.2857142857142857;19331.010452961673
0.7336880644338097;0.0975609756097561;0.30952380952380953;21283.391405342627
0.6428016529710276;0.12195121951219512;0.30952380952380953;20259.00116144019
0.6327552617648254;0.12195121951219512;0.3333333333333333;22211.382113821135
0.6141376199194664;0.14634146341463414;0.3333333333333333;21186.991869918696
0.6123037622385593;0.14634146341463414;0.35714285714285715;23139.37282229965
0.6011012515900382;0.17073170731707318;0.35714285714285715;22114.982578397212
0.5955008345503977;0.1951219512195122;0.35714285714285715;21090.592334494773
0.5878345680874033;0.1951219512195122;0.38095238095238093;23042.97328687572
0.5803619246247407;0.21951219512195122;0.38095238095238093;22018.58304297328
0.5761290051876776;0.24390243902439024;0.38095238095238093;20994.192799070843
0.5702202176269611;0.24390243902439024;0.40476190476190477;22946.5737514518
0.5424745097937718;0.24390243902439024;0.42857142857142855;24898.954703832755
0.5398871843074692;0.24390243902439024;0.4523809523809524;26851.33565621371
0.5260276876432168;0.2682926829268293;0.4523809523809524;25826.945412311266
0.49436784903094416;0.2682926829268293;0.47619047619047616;27779.326364692213
0.47942230184688944;0.2682926829268293;0.5238095238095238;31684.08826945412
0.4548714422377735;0.2926829268292683;0.5238095238095238;30659.698025551686
0.44473667795052557;0.2926829268292683;0.5476190476190477;32612.07897793264
0.43972592454180787;0.3170731707317073;0.5476190476190477;31587.688734030202
0.4346784185306272;0.34146341463414637;0.5476190476190477;30563.29849012776
0.43405533021161347;0.36585365853658536;0.5476190476190477;29538.90824622532
0.42834945789470025;0.3902439024390244;0.5476190476190477;28514.518002322882
0.4163806011884349;0.3902439024390244;0.5714285714285714;30466.89895470383
0.41437521864406335;0.3902439024390244;0.5952380952380952;32419.279907084776
0.4128632781169481;0.4146341463414634;0.5952380952380952;31394.889663182337
0.4101683554239312;0.4146341463414634;0.6190476190476191;33347.2706155633
0.40936159542099854;0.4146341463414634;0.6428571428571429;35299.65156794425
0.40798893438185413;0.43902439024390244;0.6428571428571429;34275.261324041814
0.40369801722828436;0.43902439024390244;0.6666666666666666;36227.64227642276
0.4032590856778357;0.4634146341463415;0.6666666666666666;35203.25203252032
0.396404575578801;0.4878048780487805;0.6666666666666666;34178.86178861788
0.39316430195261687;0.5121951219512195;0.6666666666666666;33154.471544715445
0.39187087109038143;0.5365853658536586;0.6666666666666666;32130.081300813003
0.39027292452452544;0.5609756097560976;0.6666666666666666;31105.691056910568
0.38737644052655495;0.5609756097560976;0.6904761904761905;33058.07200929152
0.38207142804944344;0.5853658536585366;0.6904761904761905;32033.681765389083
0.37982619372685145;0.6097560975609756;0.6904761904761905;31009.291521486644
0.37682201551671607;0.6341463414634146;0.6904761904761905;29984.901277584206
0.3714066487026908;0.6585365853658537;0.6904761904761905;28960.51103368176
0.3683643742052866;0.6829268292682927;0.6904761904761905;27936.12078977932
0.36098218724001024;0.7073170731707317;0.6904761904761905;26911.73054587689
0.3603765344727377;0.7073170731707317;0.7142857142857143;28864.111498257844
0.3536113479901656;0.7073170731707317;0.7380952380952381;30816.492450638805
0.35045753220715753;0.7073170731707317;0.7619047619047619;32768.87340301974
0.3478110528868439;0.7317073170731707;0.7619047619047619;31744.483159117295
0.34688258109454584;0.7317073170731707;0.7857142857142857;33696.86411149826
0.3462519364155438;0.7560975609756098;0.7857142857142857;32672.473867595818
0.3449889086214053;0.8048780487804879;0.7857142857142857;30623.693379790937
0.3416527424435607;0.8048780487804879;0.8095238095238095;32576.07433217189
0.33513335709967484;0.8048780487804879;0.8333333333333334;34528.45528455285
0.3332312590888552;0.8292682926829268;0.8333333333333334;33504.065040650414
0.32938937316466993;0.8536585365853658;0.8333333333333334;32479.674796747975
0.32910832764444203;0.8536585365853658;0.8571428571428571;34432.05574912892
0.3228017721229356;0.8780487804878049;0.8571428571428571;33407.66550522648
0.3155628052470144;0.9024390243902439;0.8571428571428571;32383.275261324045
0.31038140787839985;0.926829268292683;0.8571428571428571;31358.885017421606
0.30883136266005895;0.926829268292683;0.8809523809523809;33311.26596980255
0.29787924262222654;0.926829268292683;0.9047619047619048;35263.646922183514
0.28974715884880703;0.926829268292683;0.9285714285714286;37216.02787456446
0.28000292895528245;0.926829268292683;0.9523809523809523;39168.40882694541
0.26516495387861566;0.9512195121951219;0.9523809523809523;38144.01858304298
0.23788192861803217;0.9512195121951219;0.9761904761904762;40096.39953542392
0.1775064765604481;0.975609756097561;0.9761904761904762;39072.00929152148
0.1043617569525428;0.975609756097561;1.0;41024.39024390244
0.055960378338326316;1.0;1.0;40000.0
